type,name,full_name,isin,haircut,value
mf,MIF-FS-DR,SBI SAVINGS FUND - REGULAR PLAN - IDCW REINVESTMENT,INF200K01651,10,90
mf,MIF-FS-G,SBI SAVINGS FUND - REGULAR PLAN - GROWTH,INF200K01636,10,90
mf,MIF-FS-WDP,SBI SAVINGS FUND - REGULAR PLAN - WEEKLY IDCW PAYOUT,INF200K01669,10,90
mf,MIF-FS-WDR,SBI SAVINGS FUND - REGULAR PLAN - WEEKLY IDCW REINVESTMENT,INF200K01677,10,90
mf,MIRAECFD1,MIRAE ASSET CASH MANAGEMENT FUND - DIRECT PLAN - GROWTH,INF769K01CM1,10,90
mf,MIRAECFD4,MIRAE ASSET CASH MANAGEMENT FUND - DIRECT PLAN - MONTHLY IDCW PAYOUT,INF769K01CN9,10,90
mf,MIRAECFD4,MIRAE ASSET CASH MANAGEMENT FUND - DIRECT PLAN - MONTHLY IDCW REINVESTMENT,INF769K01CQ2,10,90
mf,MIRAECFDMD,MIRAE ASSET CASH MANAGEMENT FUND - MONTHLY IDCW PAYOUT,INF769K01838,10,90
mf,MIRAECFDMR,MIRAE ASSET CASH MANAGEMENT FUND - MONTHLY IDCW REINVESTMENT,INF769K01820,10,90
mf,MIRAECFDWR,MIRAE ASSET CASH MANAGEMENT FUND - WEEKLY IDCW REINVESTMENT,INF769K01812,10,90
mf,MIRAECFGPG,MIRAE ASSET CASH MANAGEMENT FUND - GROWTH OPTION,INF769K01788,10,90
mf,MIRAEOND1,MIRAE ASSET OVERNIGHT FUND - DIRECT PLAN - GROWTH,INF769K01FG6,10,90
mf,MIRAEONRG,MIRAE ASSET OVERNIGHT FUND - REGULAR GROWTH PLAN,INF769K01FE1,10,90
mf,MMIDR,UTI MONEY MARKET FUND-REGULAR DAILY DIVIDEND PLAN-IDCW REINVESTMENT,INF789F01PW0,10,90
mf,MMIGG,UTI MONEY MARKET FUND-REGULAR GROWTH,INF789F01PX8,10,90
mf,MMMLFDG,MAHINDRA MANULIFE LIQUID FUND - DIRECT - GROWTH,INF174V01044,10,90
mf,MMMLFRG,MAHINDRA MANULIFE LIQUID FUND - REGULAR - GROWTH,INF174V01010,10,90
mf,MOMFLFDDR,MOTILAL OSWAL LIQUID FUND DIRECT-IDCW-DAILY REINVESTMENT,INF247L01742,10,90
mf,OCAPDD,HSBC CASH FUND - DAILY IDCW REINVESTMENT,INF336L01BM9,10,90
mf,OCAPG,HSBC CASH FUND - GROWTH,INF336L01BN7,10,90
mf,OCAPMD,HSBC CASH FUND - MONTHLY IDCW REINVESTMENT,INF336L01BO5,10,90
mf,OCAPMP,HSBC CASH FUND - MONTHLY IDCW PAYOUT,INF336L01BP2,10,90
mf,OCAPWD,HSBC CASH FUND - WEEKLY IDCW PAYOUT,INF336L01BQ0,10,90
mf,OHCAPG,HSBC CASH FUND - GROWTH DIRECT PLAN,INF336L01CC8,10,90
mf,OHCPDD,HSBC CASH FUND - DAILY IDCW DIRECT PLAN -REINVESTMENT,INF336L01CB0,10,90
mf,OHNOG,HSBC OVERNIGHT FUND - GROWTH DIRECT PLAN,INF336L01OF6,10,90
mf,ONODD,HSBC OVERNIGHT FUND - DAILY IDCW REINVESTMENT,INF336L01OM2,10,90
mf,ONOG,HSBC OVERNIGHT FUND - GROWTH,INF336L01OL4,10,90
mf,PMFLFPD,SUNDARAM LIQUID FUND - REGULAR PLAN IDCW DAILY REINVESTMENT,INF173K01DB7,10,90
mf,PMFLFPG,SUNDARAM LIQUID FUND - REGULAR PLAN GROWTH,INF173K01DA9,10,90
mf,PMFLFZD,SUNDARAM LIQUID FUND - DIRECT PLAN IDCW DAILY REINVESTMENT,INF173K01GT2,10,90
mf,PMFLFZG,SUNDARAM LIQUID FUND - DIRECT PLAN GROWTH,INF173K01GU0,10,90
mf,PPLFLFG,PARAG PARIKH LIQUID FUND-REGULAR PLAN-GROWTH,INF879O01035,10,90
mf,PPLFLFGZ,PARAG PARIKH LIQUID FUND-DIRECT PLAN-GROWTH,INF879O01068,10,90
mf,PPLFLFMDPZ,PARAG PARIKH LIQUID FUND-DIRECT PLAN-MONTHLY - IDCW PAYOUT,INF879O01076,10,90
mf,PPLFLFMDZ,PARAG PARIKH LIQUID FUND-DIRECT PLAN-MONTHLY - IDCW PAYOUT,INF879O01084,10,90
mf,PRMCFD1,PGIM INDIA LIQUID FUND DIRECT PLAN - GROWTH,INF223J01NS5,10,90
mf,PRMCFD2,PGIM INDIA LIQUID FUND DIRECT PLAN - DAILY IDCW REINVESTMENT,INF223J01NR7,10,90
mf,PRMCFD6,PGIM INDIA LIQUID FUND DIRECT PLAN - WEEKLY IDCW PAYOUT,INF223J01NV9,10,90
mf,PRMCFD6,PGIM INDIA LIQUID FUND DIRECT PLAN - WEEKLY IDCW PAYOUT,INF223J01NW7,10,90
mf,QMFLFRGG,QUANTUM LIQUID FUND - REGULAR PLAN GROWTH OPTION,INF082J01309,10,90
mf,RELGILDPAA,NIPPON INDIA GILT SECURITIES FUND DIRECT PLAN AUTOMATIC ANNUAL REINVEST OPTION IDCW REINVESTMENT,INF204K01E62,10,90
mf,RELGILDPAC,NIPPON INDIA GILT SECURITIES FUND DIRECT PLAN AUTOMATIC CAPITAL APPRECIATION PAYOUT OPTION IDCW PAYOUT,INF204K01E70,10,90
mf,RELGILDPDP,NIPPON INDIA GILT SECURITIES FUND DIRECT PLAN DIVIDEND PLAN IDCW PAYOUT,INF204K01XQ6,10,90
mf,RELGILDPDP,NIPPON INDIA GILT SECURITIES FUND DIRECT PLAN DIVIDEND PLAN IDCW REINVESTMENT,INF204K01XR4,10,90
mf,RELGILDPGP,NIPPON INDIA GILT SECURITIES FUND DIRECT PLAN GROWTH PLAN GROWTH,INF204K01XP8,10,90
mf,RELGLSRACA,NIPPON INDIA GILT SEC FUND- P F OPT-AUTO CAP APPRECIATION PAYOUT,INF204K01CC0,10,90
mf,RELGLSRMDO,NIPPON INDIA GILT SECURITIES FUND-P F OPT-DEFINED MATURITY DATE OPT,INF204K01CB2,10,90
mf,RELGLSRPDP,NIPPON INDIA GILT SECURITIES FUND - DIV PLAN-IDCW PAYOUT OPTION,INF204K01BV2,10,90
mf,RELGLSRPDR,NIPPON INDIA GILT SECURITIES FUND -IDCW REINVESTMENT OPTION,INF204K01BW0,10,90
mf,RELGLSRPGP,NIPPON INDIA GILT SECURITIES FUND - GROWTH OPTION,INF204K01BU4,10,90
mf,RELLIQDPGP,NIPPON INDIA MONEY MARKET FUND - DIRECT GROWTH PLAN GROWTH OPTION,INF204K01ZP3,10,90
mf,RELLIQDPMD,NIPPON INDIA MONEY MARKET FUND - DIRECT PLAN MONTHLY IDCW PAYOUT,INF204K01ZQ1,10,90
mf,RELLIQDPMD,NIPPON INDIA MONEY MARKET FUND - DIRECT PLAN MONTHLY IDCW REINVESTMENT,INF204K01ZR9,10,90
mf,RELLIQTIDR,NIPPON INDIA LIQUID FUND - DAILY IDCW REINVESTMENT,INF204K01UM1,10,90
mf,RELLIQTIMP,NIPPON INDIA LIQUID FUND - MONTHLY IDCW PAYOUT,INF204K01UO7,10,90
mf,RELLIQTIMR,NIPPON INDIA LIQUID FUND - MONTHLY IDCW REINVESTMENT,INF204K01UP4,10,90
mf,RELLIQTIWR,NIPPON INDIA LIQUID FUND - WEEKLY IDCW REINVESTMENT,INF204K01US8,10,90
mf,RELLIQTPGP,NIPPON INDIA LIQUID FUND - RETAIL OPTION - GROWTH OPTION,INF204K01UL3,10,90
mf,RELLIQTPIG,NIPPON INDIA LIQUID FUND - GROWTH PLAN - GROWTH OPTION,INF204K01UN9,10,90
mf,RELLQDTDDR,NIPPON INDIA MONEY MARKET FUND - DAILY IDCW REINVESTMENT,INF204K01UY6,10,90
mf,RELLQDTMDP,NIPPON INDIA MONEY MARKET FUND - MONTHLY IDCW PAYOUT,INF204K01VB2,10,90
mf,RELLQDTMDR,NIPPON INDIA MONEY MARKET FUND - MONTHLY IDCW REINVESTMENT,INF204K01VC0,10,90
mf,RELLQDTQDP,NIPPON INDIA MONEY MARKET FUND - QUARTERLY IDCW PLAN PAYOUT,INF204K01VD8,10,90
mf,RELLQDTQDR,NIPPON INDIA MONEY MARKET FUND - QUARTERLY IDCW REINVESTMENT,INF204K01VE6,10,90
mf,RELLQDTYGP,NIPPON INDIA MONEY MARKET FUND - GROWTH PLAN GROWTH OPTION,INF204K01VA4,10,90
mf,RELLTPDPGP,NIPPON INDIA LIQUID FUND - DIRECT GROWTH PLAN - GROWTH OPTION,INF204K01ZH0,10,90
mf,RELLTPDPMD,NIPPON INDIA LIQUID FUND - DIRECT MONTHLY IDCW PAYOUT,INF204K01ZI8,10,90
mf,RELLTPDPMD,NIPPON INDIA LIQUID FUND - DIRECT MONTHLY IDCW REINVESTMENT,INF204K01ZJ6,10,90
mf,RELLTPDPQD,NIPPON INDIA LIQUID FUND - DIRECT QUARTERLY IDCW PAYOUT,INF204K01ZK4,10,90
mf,RELLTPDPQD,NIPPON INDIA LIQUID FUND - DIRECT QUARTERLY IDCW REINVESTMENT,INF204K01ZL2,10,90
mf,RGFCOG,INVESCO INDIA MONEY MARKET FUND - GROWTH,INF205K01SD1,10,90
mf,RGFLFD1G,INVESCO INDIA LIQUID FUND - DIRECT PLAN GROWTH,INF205K01MF9,10,90
mf,RGFLFD4DR,INVESCO INDIA LIQUID FUND - DIRECT PLAN DAILY IDCW REINVESTMENT,INF205K01ME2,10,90
mf,RMFCOFRG,INVESCO INDIA MONEY MARKET FUND - REGULAR GROWTH,INF205K01SG4,10,90
mf,RMFLFSIG,INVESCO INDIA LIQUID FUND - GROWTH,INF205K01HM5,10,90
mf,RMFONADDR,NIPPON INDIA OVERNIGHT FUND - DIRECT DAILY PLAN IDCW REINVESTMENT,INF204KB1R49,10,90
mf,RMFONADGP,NIPPON INDIA OVERNIGHT FUND - DIRECT GROWTH PLAN,INF204KB1R31,10,90
mf,RMFONDDR,NIPPON INDIA OVERNIGHT FUND - DAILY IDCW REINVESTMENT,INF204KB1Q73,10,90
mf,RMFONDGP,NIPPON INDIA OVERNIGHT FUND - GROWTH PLAN,INF204KB1Q65,10,90
mf,RMFONMDP,NIPPON INDIA OVERNIGHT FUND - MONTHLY IDCW PAYOUT,INF204KB1Q99,10,90
mf,RMFONMDR,NIPPON INDIA OVERNIGHT FUND - MONTHLY IDCW REINVESTMENT,INF204KB1R07,10,90
mf,SBILFDG,SBI LIQUID FUND DIRECT GROWTH,INF200K01UT4,10,90
mf,SBIMICFFLT,SBI OVERNIGHT FUND REGULAR GROWTH,INF200K01LQ9,10,90
mf,SBIOFDG,SBI OVERNIGHT FUND DIRECT GROWTH,INF200K01TK5,10,90
mf,SBIPLF,SBI LIQUID FUND REGULAR GROWTH,INF200K01MA1,10,90
mf,SBISGDG,SBI SAVINGS FUND - DIRECT PLAN - GROWTH,INF200K01SZ5,10,90
mf,TATAFRSIG,TATA LIQUID FUND REGULAR PLAN GROWTH,INF277K01YD8,10,90
mf,TATALSD01,TATA MONEY MARKET REGULAR PLAN DAILY IDCW REINVESTMENT,INF277K014C0,10,90
mf,TATALSG01,TATA MONEY MARKET FUND REGULAR PLAN GROWTH,INF277K01LQ7,10,90
mf,TFRSTF,TATA LIQUID FUND DIRECT PLAN GROWTH,INF277K01YE6,10,90
mf,TLF,TATA MONEY MARKET FUND DIRECT PLAN GROWTH,INF277K01PR6,10,90
mf,TOFB,TATA OVERNIGHT FUND REGULAR PLAN GROWTH,INF277K016T9,10,90
mf,TOFD,TATA OVERNIGHT FUND DIRECT PLAN GROWTH,INF277K018T5,10,90
mf,UNLDDR,UNION LIQUID FUND DAILY IDCW REINVESTMENT,INF582M01021,10,90
mf,UNLDRD,UNION LIQUID FUND DAILY IDCW REINVESTMENT-DIRECT PLAN,INF582M01682,10,90
mf,UNLGR,UNION LIQUID FUND GROWTH,INF582M01013,10,90
mf,UNLGRD,UNION LIQUID FUND GROWTH-DIRECT PLAN,INF582M01674,10,90
mf,UTIGILTLTP,UTI GILT FUND-REGULAR DIVIDEND PLAN-IDCW PAYOUT,INF789F01646,10,90
mf,UTIGILTLTP,UTI GILT FUND-REGULAR REGULAR GROWTH,INF789F01661,10,90
mf,UTIGILTLTP,UTI GILT FUND-REGULAR DIVIDEND PLAN-IDCW REINVESTMENT,INF789F01653,10,90
mf,UTIGSECSTP,UTI OVERNIGHT FUND - GROWTH PLAN,INF789F01604,10,90
mf,UTILIQUDRI,UTI LIQUID CASH PLAN - REGULAR-IDCW REINVESTMENT,INF789F01AZ5,10,90
mf,UTILIQUMDR,UTI LIQUID CASH PLAN - REGULAR-IDCW REINVESTMENT,INF789F01BB4,10,90
mf,UTIMMFGP,UTI MONEY MARKET FUND-DISCONTINUED REGULAR PLAN-GROWTH,INF789F01BF5,10,90
equity,ADANIENT,,INE423A01024,19.85,80.15
equity,ADANIPORTS,,INE742F01042,17.57,82.43
equity,APOLLOHOSP,,INE437A01024,17.27,82.73
equity,ASIANPAINT,,INE021A01026,13.91,86.09
equity,AXISBANK,,INE238A01034,15.98,84.02
equity,BAJAJ-AUTO,,INE917I01010,12.69,87.31
equity,BAJAJFINSV,,INE918I01026,17.3,82.7
equity,BAJFINANCE,,INE296A01024,17.04,82.96
equity,BHARTIARTL,,INE397D01024,13.6,86.4
equity,BPCL,,INE029A01011,14.79,85.21
equity,BRITANNIA,,INE216A01030,12.85,87.15
equity,CIPLA,,INE059A01026,12.88,87.12
equity,COALINDIA,,INE522F01014,16.18,83.82
equity,DIVISLAB,,INE361B01024,15.31,84.69
equity,DRREDDY,,INE089A01023,13,87
equity,EICHERMOT,,INE066A01021,15.61,84.39
equity,GRASIM,,INE047A01021,14.61,85.39
equity,HCLTECH,,INE860A01027,13.97,86.03
equity,HDFC,,INE001A01036,14.5,85.5
equity,HDFCBANK,,INE040A01034,13.12,86.88
equity,HDFCLIFE,,INE795G01014,14.39,85.61
equity,HEROMOTOCO,,INE158A01026,14.19,85.81
equity,HINDALCO,,INE038A01020,20.31,79.69
equity,HINDUNILVR,,INE030A01027,12.78,87.22
equity,ICICIBANK,,INE090A01021,14.03,85.97
equity,INDUSINDBK,,INE095A01012,19.45,80.55
equity,INFY,,INE009A01021,14.12,85.88
equity,ITC,,INE154A01025,12.5,87.5
equity,JSWSTEEL,,INE019A01038,17.83,82.17
equity,KOTAKBANK,,INE237A01028,13.92,86.08
equity,LT,,INE018A01030,13.41,86.59
equity,M&M,,INE101A01026,15.31,84.69
equity,MARUTI,,INE585B01010,14.49,85.51
equity,NESTLEIND,,INE239A01016,12.5,87.5
equity,NTPC,,INE733E01010,13.89,86.11
equity,ONGC,,INE213A01029,18.2,81.8
equity,POWERGRID,,INE752E01010,14.07,85.93
equity,RELIANCE,,INE002A01018,14.16,85.84
equity,SBILIFE,,INE123W01016,13.64,86.36
equity,SBIN,,INE062A01020,14.66,85.34
equity,SUNPHARMA,,INE044A01036,13.07,86.93
equity,TATACONSUM,,INE192A01025,14.22,85.78
equity,TATAMOTORS,,INE155A01022,19.41,80.59
equity,TATASTEEL,,INE081A01020,18.94,81.06
equity,TCS,,INE467B01029,12.52,87.48
equity,TECHM,,INE669C01036,15.6,84.4
equity,TITAN,,INE280A01028,14.76,85.24
equity,ULTRACEMCO,,INE481G01011,13.97,86.03
equity,UPL,,INE628A01036,16.25,83.75
equity,WIPRO,,INE075A01022,14.22,85.78
equity,ACC,,INE012A01025,14.81,85.19
equity,ADANIGREEN,,INE364U01010,24.08,75.92
equity,ADANITRANS,,INE931S01010,22.84,77.16
equity,AMBUJACEM,,INE079A01024,35,65
equity,ATGL,,INE399L01023,23.88,76.12
equity,BAJAJHLDNG,,INE118A01012,16.77,83.23
equity,BANDHANBNK,,INE545U01014,20.89,79.11
equity,BANKBARODA,,INE028A01039,20.14,79.86
equity,BEL,,INE263A01024,16.79,83.21
equity,BERGEPAINT,,INE463A01038,13.74,86.26
equity,BIOCON,,INE376G01013,16.39,83.61
equity,BOSCHLTD,,INE323A01026,14.81,85.19
equity,CHOLAFIN,,INE121A01024,19.54,80.46
equity,COLPAL,,INE259A01022,12.5,87.5
equity,DABUR,,INE016A01026,12.5,87.5
equity,DLF,,INE271C01023,18.86,81.14
equity,DMART,,INE192R01011,15.75,84.25
equity,GAIL,,INE129A01019,15.72,84.28
equity,GLAND,,INE068V01023,18.37,81.63
equity,GODREJCP,,INE102D01028,15.53,84.47
equity,HAL,,INE066F01012,17.33,82.67
equity,HAVELLS,,INE176B01034,14.96,85.04
equity,HDFCAMC,,INE127D01025,14.95,85.05
equity,ICICIGI,,INE765G01017,14.26,85.74
equity,ICICIPRULI,,INE726G01019,15.46,84.54
equity,INDIGO,,INE646L01027,17.94,82.06
equity,INDUSTOWER,,INE121J01017,18.37,81.63
equity,IOC,,INE242A01010,13.35,86.65
equity,IRCTC,,INE335Y01020,19.04,80.96
equity,LICI,,INE0J1Y01017,12.5,87.5
equity,LTI,,INE214T01019,18.2,81.8
equity,MARICO,,INE196A01026,12.96,87.04
equity,MCDOWELL-N,,INE854D01024,15.49,84.51
equity,MOTHERSON,,INE775A01035,17.61,82.39
equity,MPHASIS,,INE356A01018,17.61,82.39
equity,MUTHOOTFIN,,INE414G01012,16.87,83.13
equity,NAUKRI,,INE663F01024,19.76,80.24
equity,NYKAA,,INE388Y01029,21.44,78.56
equity,PAYTM,,INE982J01020,23.04,76.96
equity,PGHH,,INE179A01014,12.5,87.5
equity,PIDILITIND,,INE318A01026,13.01,86.99
equity,PIIND,,INE603J01030,16.14,83.86
equity,SBICARD,,INE018E01016,15.61,84.39
equity,SHREECEM,,INE070A01015,14.99,85.01
equity,SIEMENS,,INE003A01024,14.46,85.54
equity,SRF,,INE647A01010,17.13,82.87
equity,TATAPOWER,,INE245A01021,18.63,81.37
equity,TORNTPHARM,,INE685A01028,13.92,86.08
equity,VEDL,,INE205A01025,21.87,78.13
equity,ZOMATO,,INE758T01015,27.35,72.65
equity,20MICRONS,,INE144J01027,26.74,73.26
equity,3IINFOLTD,,INE748C01038,20.55,79.45
equity,3MINDIA,,INE470A01017,14.83,85.17
equity,5PAISA,,INE618L01018,22.92,77.08
equity,63MOONS,,INE111B01023,25.08,74.92
equity,AARTIDRUGS,,INE767A01016,17.38,82.62
equity,AARTIIND,,INE769A01020,16.9,83.1
equity,AARTISURF,,INE09EO01013,21.58,78.42
equity,AARVI,,INE754X01016,29.56,70.44
equity,AAVAS,,INE216P01012,17.93,82.07
equity,ABB,,INE117A01022,16.73,83.27
equity,ABBOTINDIA,,INE358A01014,13.73,86.27
equity,ABCAPITAL,,INE674K01013,18.47,81.53
equity,ABFRL,,INE647O01011,17.7,82.3
equity,ABSLAMC,,INE404A01024,12.5,87.5
equity,ACCELYA,,INE793A01012,19.46,80.54
equity,ACCURACY,,INE648Z01015,25.79,74.21
equity,ACE,,INE731H01025,23.19,76.81
equity,ADFFOODS,,INE982B01019,19.59,80.41
equity,ADORWELD,,INE045A01017,21.52,78.48
equity,ADSL,,INE102I01027,26.03,73.97
equity,ADVANIHOTR,,INE199C01026,22.48,77.52
equity,ADVENZYMES,,INE837H01020,18.71,81.29
equity,AEGISCHEM,,INE208C01025,23.62,76.38
equity,AETHER,,INE0BWX01014,12.89,87.11
equity,AFFLE,,INE00WC01027,20.21,79.79
equity,AGARIND,,INE204E01012,26.07,73.93
equity,AGI,,INE415A01038,27.41,72.59
equity,AGSTRA,,INE583L01014,17.98,82.02
equity,AHLUCONT,,INE758C01029,20.07,79.93
equity,AIAENG,,INE212H01026,15.64,84.36
equity,AIRAN,,INE645W01026,22.81,77.19
equity,AIROLAM,,INE801L01010,27.53,72.47
equity,AJANTPHARM,,INE031B01049,14.3,85.7
equity,AJMERA,,INE298G01027,25.62,74.38
equity,AJOONI,,INE820Y01021,26.31,73.69
equity,AKSHARCHEM,,INE542B01011,25.23,74.77
equity,AKZOINDIA,,INE133A01011,12.5,87.5
equity,ALANKIT,,INE914E01040,21.63,78.37
equity,ALBERTDAVD,,INE155C01010,17.15,82.85
equity,ALEMBICLTD,,INE426A01027,20.02,79.98
equity,ALICON,,INE062D01024,23.4,76.6
equity,ALKALI,,INE773I01017,29.79,70.21
equity,ALKEM,,INE540L01014,12.5,87.5
equity,ALKYLAMINE,,INE150B01039,17.85,82.15
equity,ALLCARGO,,INE418H01029,23.48,76.52
equity,ALLSEC,,INE835G01018,20.5,79.5
equity,ALPA,,INE385I01010,28.74,71.26
equity,ALPHAGEO,,INE137C01018,23.86,76.14
equity,AMARAJABAT,,INE885A01032,15.01,84.99
equity,AMBER,,INE371P01015,20.45,79.55
equity,AMBIKCO,,INE540G01014,21.18,78.82
equity,AMIORG,,INE00FF01017,20.45,79.55
equity,AMRUTANJAN,,INE098F01031,15.72,84.28
equity,ANANDRATHI,,INE463V01026,12.5,87.5
equity,ANANTRAJ,,INE242C01024,26.94,73.06
equity,ANDHRAPAP,,INE435A01028,19.47,80.53
equity,ANDHRSUGAR,,INE715B01021,20.86,79.14
equity,ANDREWYU,,INE449C01025,20.99,79.01
equity,ANGELONE,,INE732I01013,21.8,78.2
equity,ANUP,,INE294Z01018,20.18,79.82
equity,ANURAS,,INE930P01018,15.97,84.03
equity,APARINDS,,INE372A01015,24.52,75.48
equity,APCL,,INE071F01012,22.39,77.61
equity,APCOTEXIND,,INE116A01032,22.55,77.45
equity,APEX,,INE346W01013,22.11,77.89
equity,APLAPOLLO,,INE702C01027,20.31,79.69
equity,APLLTD,,INE901L01018,14.69,85.31
equity,APOLLOPIPE,,INE126J01016,20.24,79.76
equity,APOLLOTYRE,,INE438A01022,18.5,81.5
equity,APTECHT,,INE266F01018,25.2,74.8
equity,APTUS,,INE852O01025,19.34,80.66
equity,ARCHIDPLY,,INE877I01016,29.08,70.92
equity,ARIES,,INE298I01015,22.58,77.42
equity,ARIHANTCAP,,INE420B01036,22.76,77.24
equity,ARMANFIN,,INE109C01017,24.16,75.84
equity,AROGRANITE,,INE210C01013,24.64,75.36
equity,ARTEMISMED,,INE025R01021,23.16,76.84
equity,ARVIND,,INE034A01011,22.44,77.56
equity,ARVINDFASN,,INE955V01021,22.56,77.44
equity,ARVSMART,,INE034S01021,24.43,75.57
equity,ASAHIINDIA,,INE439A01020,21.91,78.09
equity,ASAHISONG,,INE228I01012,20.42,79.58
equity,ASAL,,INE900C01027,27.69,72.31
equity,ASALCBR,,INE073G01016,16.75,83.25
equity,ASHAPURMIN,,INE348A01023,25.41,74.59
equity,ASHIANA,,INE365D01021,20.33,79.67
equity,ASHOKA,,INE442H01029,19.45,80.55
equity,ASHOKLEY,,INE208A01029,17.85,82.15
equity,ASIANENE,,INE276G01015,19.88,80.12
equity,ASIANHOTNR,,INE363A01022,20.37,79.63
equity,ASIANTILES,,INE022I01019,23.3,76.7
equity,ASTEC,,INE563J01010,20.13,79.87
equity,ASTERDM,,INE914M01019,20.64,79.36
equity,ASTRAL,,INE006I01046,18.08,81.92
equity,ASTRAMICRO,,INE386C01029,22.77,77.23
equity,ASTRAZEN,,INE203A01020,16.14,83.86
equity,ASTRON,,INE646X01014,23.07,76.93
equity,ATFL,,INE209A01019,15.62,84.38
equity,ATUL,,INE100A01010,14.72,85.28
equity,ATULAUTO,,INE951D01028,21.56,78.44
equity,AUBANK,,INE949L01017,18.85,81.15
equity,AURIONPRO,,INE132H01018,27.87,72.13
equity,AUROPHARMA,,INE406A01037,17.4,82.6
equity,AUTOAXLES,,INE449A01011,20.94,79.06
equity,AUTOIND,,INE718H01014,27.42,72.58
equity,AVADHSUGAR,,INE349W01017,25.05,74.95
equity,AVANTIFEED,,INE871C01038,17.91,82.09
equity,AVTNPL,,INE488D01021,22.5,77.5
equity,AWHCL,,INE01BK01022,19.05,80.95
equity,AWL,,INE699H01024,21.52,78.48
equity,AXITA,,INE02EZ01022,19.94,80.06
equity,AYMSYNTEX,,INE193B01039,24.22,75.78
equity,BAJAJCON,,INE933K01021,16.73,83.27
equity,BAJAJELEC,,INE193E01025,17.72,82.28
equity,BAJAJHCARE,,INE411U01027,18.54,81.46
equity,BAJAJHIND,,INE306A01021,30.62,69.38
equity,BALAJITELE,,INE794B01026,21.34,78.66
equity,BALAMINES,,INE050E01027,21.19,78.81
equity,BALKRISIND,,INE787D01026,15.77,84.23
equity,BALMLAWRIE,,INE164A01016,14.33,85.67
equity,BALPHARMA,,INE083D01012,23.82,76.18
equity,BALRAMCHIN,,INE119A01028,21.56,78.44
equity,BANARISUG,,INE459A01010,17.89,82.11
equity,BANCOINDIA,,INE213C01025,20.65,79.35
equity,BANKINDIA,,INE084A01016,21.17,78.83
equity,BANSWRAS,,INE629D01020,26.45,73.55
equity,BARBEQUE,,INE382M01027,19.66,80.34
equity,BASF,,INE373A01013,17.56,82.44
equity,BASML,,INE186H01022,23.76,76.24
equity,BATAINDIA,,INE176A01028,14.17,85.83
equity,BAYERCROP,,INE462A01022,13.63,86.37
equity,BBL,,INE464A01028,20.78,79.22
equity,BBOX,,INE676A01027,24.24,75.76
equity,BBTC,,INE050A01025,17.53,82.47
equity,BCLIND,,INE412G01016,24.35,75.65
equity,BDL,,INE171Z01018,21.89,78.11
equity,BECTORFOOD,,INE495P01012,16.91,83.09
equity,BEML,,INE258A01016,20.24,79.76
equity,BEPL,,INE922A01025,20.19,79.81
equity,BESTAGRO,,INE052T01013,26.5,73.5
equity,BFINVEST,,INE878K01010,19.45,80.55
equity,BFUTILITIE,,INE243D01012,23.5,76.5
equity,BGRENERGY,,INE661I01014,28.44,71.56
equity,BHAGCHEM,,INE414D01019,16.49,83.51
equity,BHAGERIA,,INE354C01027,19.03,80.97
equity,BHARATFORG,,INE465A01025,17.36,82.64
equity,BHARATGEAR,,INE561C01019,29.18,70.82
equity,BHARATRAS,,INE838B01013,18.71,81.29
equity,BHEL,,INE257A01026,22.1,77.9
equity,BINDALAGRO,,INE143A01010,26.58,73.42
equity,BIOFILCHEM,,INE829A01014,30.94,69.06
equity,BIRLACABLE,,INE800A01015,27.77,72.23
equity,BIRLACORPN,,INE340A01012,19.71,80.29
equity,BIRLAMONEY,,INE865C01022,21.13,78.87
equity,BLISSGVS,,INE416D01022,19.3,80.7
equity,BLKASHYAP,,INE350H01032,75,25
equity,BLUEDART,,INE233B01017,15.29,84.71
equity,BLUESTARCO,,INE472A01039,15.28,84.72
equity,BODALCHEM,,INE338D01028,19.43,80.57
equity,BOMDYEING,,INE032A01023,23.99,76.01
equity,BOROLTD,,INE02PY01013,22.34,77.66
equity,BORORENEW,,INE666D01022,22.42,77.58
equity,BPL,,INE110A01019,26.25,73.75
equity,BRIGADE,,INE791I01019,19.45,80.55
equity,BRNL,,INE727S01012,100,0
equity,BSE,,INE118H01025,21.08,78.92
equity,BSL,,INE594B01012,100,0
equity,BSOFT,,INE836A01035,20.52,79.48
equity,BUTTERFLY,,INE295F01017,23.17,76.83
equity,CAMLINFINE,,INE052I01032,23.13,76.87
equity,CAMPUS,,INE278Y01022,16.54,83.46
equity,CAMS,,INE596I01012,16.2,83.8
equity,CANBK,,INE476A01014,20.27,79.73
equity,CANFINHOME,,INE477A01020,19.13,80.87
equity,CANTABIL,,INE068L01016,21.78,78.22
equity,CAPACITE,,INE264T01014,23.53,76.47
equity,CAPLIPOINT,,INE475E01026,19.02,80.98
equity,CARBORUNIV,,INE120A01034,17.02,82.98
equity,CAREERP,,INE521J01018,22.01,77.99
equity,CARERATING,,INE752H01013,18.88,81.12
equity,CARTRADE,,INE290S01011,18.65,81.35
equity,CARYSIL,,INE482D01024,22.47,77.53
equity,CASTROLIND,,INE172A01027,12.94,87.06
equity,CCL,,INE421D01022,17.94,82.06
equity,CDSL,,INE736A01011,17.63,82.37
equity,CEATLTD,,INE482A01020,19.43,80.57
equity,CENTENKA,,INE485A01015,19.66,80.34
