type,name,full_name,isin,haircut,value
mf,AXISONGPG,AXIS OVERNIGHT FUND REGULAR PLAN - GROWTH,INF846K01O23,10,90
mf,B151GZ,ADITYA BIRLA SUN LIFE MONEY MANAGER FUND - GROWTH-DIRECT PLAN,INF209K01UU3,10,90
mf,B151IG,ADITYA BIRLA SUN LIFE MONEY MANAGER FUND - GROWTH-REGULAR PLAN,INF209K01RV7,10,90
mf,B153DZ,ADITYA BIRLA SUN LIFE LIQUID FUND - DAILY IDCW REINVESTMENT-DIRECT PLAN,INF209K01UZ2,10,90
mf,B153G,ADITYA BIRLA SUN LIFE LIQUID FUND REGULAR PLAN - GROWTH,INF209K01RU9,10,90
mf,B153GZ,ADITYA BIRLA SUN LIFE LIQUID FUND DIRECT PLAN - GROWTH,INF209K01VA3,10,90
mf,B153WZ,ADITYA BIRLA SUN LIFE LIQUID FUND - WEEKLY IDCW PAYOUT - DIRECT PLAN,INF209K01VC9,10,90
mf,B153Z,ADITYA BIRLA SUN LIFE LIQUID FUND - DIRECT PLAN-IDCW PAYOUT,INF209K01VD7,10,90
mf,B402AZ,ADITYA BIRLA SUN LIFE GOVERNMENT SECURITIES FUND- GROWTH-DIRECT PLAN,INF209K01XP7,10,90
mf,B403DZ,ADITYA BIRLA SUN LIFE GOVERNMENT SECURITIES FUND- QUARTERLY DIRECT PLAN-IDCW PAYOUT,INF209KA1LC4,10,90
mf,B501G,ADITYA BIRLA SUN LIFE LIQUID FUND RETAIL GROWTH,INF209K01ME4,10,90
mf,BOILFRDR,BANK OF INDIA LIQUID FUND - REGULAR PLAN - DAILY IDCW REINVESTMENT,INF761K01CO4,10,90
mf,BOILFRGG,BANK OF INDIA LIQUID FUNDREGULAR PLAN - GROWTH,INF761K01306,10,90
mf,BPLFG,BARODA BNP PARIBAS LIQUID FUND PLAN A - GROWTH,INF955L01484,10,90
mf,BPMFLFD1,BARODA BNP PARIBAS LIQUID FUND PLAN B DAILY IDCW REINVESTMENT,INF955L01AK2,10,90
mf,BPMFLFD2,BARODA BNP PARIBAS LIQUID FUND PLAN B GROWTH,INF955L01AL0,10,90
mf,BPMFOFD1,BARODA BNP PARIBAS OVERNIGHT FUND DIRECT PLAN DAILY IDCW REINVESTMENT,INF955L01HW2,10,90
mf,BSL402AG,ADITYA BIRLA SUN LIFE GOVERNMENT SECURITIES FUND-GROWTH,INF209K01AC3,10,90
mf,BSL402IG,ADITYA BIRLA SUN LIFE GOVERNMENT SECURITIES FUND-INSTANT GAIN-GROWTH,INF209K01AD1,10,90
mf,BSL403QD,ADITYA BIRLA SUN LIFE GOVERNMENT SECURITIES FUND-QUARTERLY IDCW PAYOUT,INF209K01AF6,10,90
mf,BSL403QD,ADITYA BIRLA SUN LIFE GOVERNMENT SECURITIES FUND-QUARTERLY IDCW REINVESTMENT,INF209K01DP9,10,90
mf,CPIDR,UTI LIQUID CASH PLAN-REGULAR DAILY DIVIDEND PLAN-IDCW REINVESTMENT,INF789F01PG3,10,90
mf,CPIGG,UTI LIQUID CASH PLAN - REGULAR GROWTH,INF789F01PH1,10,90
mf,CPIMD,UTI LIQUID CASH PLAN-REGULAR MONTHLY DIVIDEND PLAN-IDCW PAYOUT,INF789F01PI9,10,90
mf,CPIMR,UTI LIQUID CASH PLAN-REGULAR MONTHLY DIVIDEND PLAN-IDCW REINVESTMENT,INF789F01PJ7,10,90
mf,CPIWR,UTI LIQUID CASH PLAN-REGULAR WEEKLY DIVIDEND PLAN-IDCW REINVESTMENT,INF789F01PK5,10,90
mf,CRLIDD,CANARA ROBECO LIQUID FUND DIRECT DAILY - IDCW REINVESTMENT,INF760K01FS0,10,90
mf,CRLIDG,CANARA ROBECO LIQUID FUND DIRECT GROWTH,INF760K01FU6,10,90
mf,CRLISDR,CANARA ROBECO LIQUID FUND REGULAR DAILY - IDCW REINVESTMENT,INF760K01CU3,10,90
mf,CRLISGG,CANARA ROBECO LIQUID FUND REGULAR GROWTH,INF760K01CW9,10,90
mf,DSPBRLIGF,DSP LIQUIDITY FUND - GROWTH,INF740K01FK9,10,90
mf,DSPBRTBF,DSP SAVINGS FUND - GROWTH,INF740K01714,10,90
mf,DSPLQDGR,DSP LIQUIDITY FUND - DIRECT PLAN - GROWTH,INF740K01QL4,10,90
mf,DSPONDGR,DSP OVERNIGHT FUND - DIRECT PLAN - GROWTH,INF740KA1MC8,10,90
mf,DSPONRGR,DSP OVERNIGHT FUND - REGULAR PLAN - GROWTH,INF740KA1MB0,10,90
mf,DSPTREDGR,DSP SAVINGS FUND - DIRECT PLAN - GROWTH,INF740K01NU2,10,90
mf,EMFLIQDDDR,EDELWEISS LIQUID FUND - DIRECT PLAN DAILY IDCW REINVESTMENT,INF754K01GP7,10,90
mf,EMFLIQDGP,EDELWEISS LIQUID FUND - DIRECT PLAN GROWTH OPTION,INF754K01GM4,10,90
mf,EMFLIQDRGR,EDELWEISS LIQUID FUND - REGULAR PLAN GROWTH - GROWTH,INF754K01GZ6,10,90
mf,EMFONFDRGP,EDELWEISS OVERNIGHT FUND - DIRECT PLAN - GROWTH,INF754K01JV9,10,90
mf,EMFONFRGGP,EDELWEISS OVERNIGHT FUND - REGULAR PLAN - GROWTH,INF754K01KE3,10,90
mf,FILFDSIPDD,FRANKLIN INDIA LIQUID FUND - SUPER INSTITUTIONAL PLAN - DIRECT DAILY IDCW REINVESTMENT,INF090I01JW0,10,90
mf,FILFDSIPDP,FRANKLIN INDIA LIQUID FUND - SUPER INSTITUTIONAL PLAN - DIRECT WEEKLY IDCW PAYOUT,INF090I01JX8,10,90
mf,FILFDSIPDP,FRANKLIN INDIA LIQUID FUND - SUPER INSTITUTIONAL PLAN - DIRECT WEEKLY IDCW PAYOUT,INF090I01JY6,10,90
mf,FILFDSIPGP,FRANKLIN INDIA LIQUID FUND - SUPER INSTITUTIONAL PLAN - DIRECT -GROWTH,INF090I01JV2,10,90
mf,FILFGP,FRANKLIN INDIA LIQUID FUND - REGULAR PLAN - GROWTH,INF090I01BB1,10,90
mf,FILFSIPGP,FRANKLIN INDIA LIQUID FUND - SUPER INSTITUTIONAL PLAN-GROWTH,INF090I01BG0,10,90
mf,FILFSIPWDP,FRANKLIN INDIA LIQUID FUND - SUPER INSTITUTIONAL PLAN WEEKLY IDCW PAYOUT,INF090I01BM8,10,90
mf,FILFSIPWDP,FRANKLIN INDIA LIQUID FUND - SUPER INSTITUTIONAL PLAN-WEEKLY IDCW REINVESTMENT,INF090I01BH8,10,90
mf,FILFWDP,FRANKLIN INDIA LIQUID FUND - REGULAR PLAN WEEKLY IDCW PAYOUT,INF090I01BI6,10,90
mf,FLDGP,FRANKLIN INDIA SAVINGS FUND RETAIL OPTION - DIRECT GROWTH,INF090I01GV8,10,90
mf,FLDP,FRANKLIN INDIA SAVINGS FUND RETAIL OPTION QUARTERLY IDCW PAYOUT,INF090I01BZ0,10,90
mf,FLDR,FRANKLIN INDIA SAVINGS FUND RETAIL OPTION QUARTERLY IDCW PAYOUT,INF090I01BY3,10,90
mf,FLGP,FRANKLIN INDIA SAVINGS FUND RETAIL OPTION-GROWTH,INF090I01CA1,10,90
mf,FLMDP,FRANKLIN INDIA SAVINGS FUND RETAIL OPTION-MONTHLY IDCW PAYOUT,INF090I01LA2,10,90
mf,FLMDR,FRANKLIN INDIA SAVINGS FUND RETAIL OPTION-MONTHLY IDCW PAYOUT,INF090I01LB0,10,90
